,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI Jan,Ave GHI Jan,Ave Lat Tilt Jan,Ave DNI Aug,Ave GHI Aug,Ave Lat Tilt Aug
167,Dubuque,42.48,-90.87,27.0,54.0,75.0,2.6,US,1596307364.0,2.42,1.58,2.83,4.92,5.35,5.53
168,Atikokan,48.76,-91.62,23.13,62.0,51.0,5.07,CA,1596307489.0,,,,,,
169,Oxford,51.75,-1.26,22.0,60.0,75.0,5.7,GB,1596307200.0,,,,,,
170,Progreso,21.28,-89.67,34.44,52.0,75.0,5.82,MX,1596307489.0,,,,,,
171,Salina,38.84,-97.61,28.33,51.0,1.0,2.6,US,1596307489.0,4.24,2.39,4.31,5.94,6.03,6.17
172,St. Marys,30.73,-81.55,34.44,84.0,1.0,6.2,US,1596307407.0,4.42,3.1,4.62,4.35,5.58,5.54
173,Alexandria,31.22,29.96,27.29,70.0,0.0,3.74,EG,1596307262.0,,,,,,
174,Terrace Bay,48.78,-87.1,20.0,68.0,75.0,2.1,CA,1596307490.0,,,,,,
175,Rodeo,38.03,-122.27,26.67,50.0,1.0,4.1,US,1596307490.0,2.59,2.09,3.32,6.73,6.73,6.95
176,Hibbing,47.43,-92.94,21.0,93.0,90.0,5.7,US,1596307490.0,2.58,1.35,2.91,5.01,5.17,5.47
177,Grand Forks,47.93,-97.03,24.0,50.0,40.0,9.3,US,1596307490.0,1.8,1.07,2.17,5.49,5.3,5.67
178,Flagstaff,35.2,-111.65,30.56,19.0,90.0,0.89,US,1596307204.0,6.48,3.18,5.58,6.31,5.86,5.81
179,Snyder,32.72,-100.92,30.0,40.0,40.0,2.63,US,1596307491.0,5.44,3.28,5.23,6.56,6.5,6.49
180,Douglas,41.3,-96.17,27.22,65.0,90.0,4.6,US,1596307288.0,3.24,1.94,3.55,5.28,5.61,5.79
181,Worland,44.02,-107.96,31.67,23.0,1.0,2.6,US,1596307227.0,2.75,1.58,3.06,7.43,6.41,6.78
182,Rock Hill,34.92,-81.03,33.33,55.0,20.0,5.1,US,1596307365.0,4.31,2.67,4.36,4.64,5.72,5.74
183,Williston,48.15,-103.62,26.67,35.0,0.0,0.89,US,1596307396.0,2.15,1.15,2.45,6.4,5.75,6.25
184,Ukiah,39.15,-123.21,30.0,32.0,1.0,1.5,US,1596307491.0,3.09,2.05,3.49,8.6,7.19,7.43
185,San Luis,-33.3,-66.34,22.02,25.0,0.0,8.2,AR,1596307491.0,,,,,,
186,,,,,,,,,,,,,,,
187,Appleton,44.26,-88.42,28.33,29.0,40.0,1.33,US,1596307492.0,2.33,1.48,2.78,4.77,5.22,5.45
188,Altona,53.55,9.93,24.44,68.0,100.0,5.7,DE,1596307492.0,,,,,,
189,Winslow,35.02,-110.7,36.0,12.0,1.0,4.6,US,1596307492.0,6.71,3.31,5.81,6.69,6.22,6.23
190,Acton,51.51,-0.28,24.0,49.0,76.0,6.2,GB,1596307492.0,,,,,,
191,Havelock,34.88,-76.9,34.0,67.0,40.0,6.2,US,1596307492.0,4.25,2.69,4.38,4.27,5.43,5.44
