,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI,Ave GHI,Ave Lat Tilt
213,Grants Pass,42.44,-123.33,32.0,32.0,1.0,1.13,US,1596170464.0,5.05,5.05,5.05
214,Miles City,46.41,-105.84,24.0,53.0,1.0,1.5,US,1596171307.0,4.93,4.93,4.93
215,George Town,5.41,100.34,26.0,88.0,40.0,0.5,MY,1596171206.0,,,
216,Elk City,35.41,-99.4,24.0,73.0,1.0,8.7,US,1596171307.0,5.77,5.77,5.77
217,Alpena,45.06,-83.43,18.0,77.0,1.0,3.29,US,1596171307.0,3.9,3.9,3.9
218,Santa Rosalía,27.32,-112.28,29.74,65.0,0.0,2.25,MX,1596171307.0,,,
219,Beauceville,46.22,-70.78,18.89,96.0,100.0,0.69,CA,1596171307.0,,,
220,Loreto,22.27,-101.97,16.93,85.0,94.0,3.51,MX,1596170717.0,,,
221,Rancho Palos Verdes,33.74,-118.39,20.56,80.0,0.0,1.79,US,1596171308.0,5.3,5.3,5.3
222,Platteville,42.73,-90.48,20.0,94.0,1.0,2.6,US,1596170749.0,3.88,3.88,3.88
223,Isla Vista,34.41,-119.86,23.33,87.0,1.0,1.5,US,1596171152.0,5.98,5.98,5.98
224,Wahpeton,46.27,-96.61,21.0,77.0,40.0,2.21,US,1596171308.0,4.27,4.27,4.27
225,Delaware,39.0,-75.5,23.0,88.0,75.0,2.1,US,1596171308.0,4.08,4.08,4.08
226,Minas de Barroterán,27.63,-101.28,28.5,63.0,39.0,3.0,MX,1596171308.0,,,
227,Aldine,29.93,-95.38,28.33,78.0,75.0,3.1,US,1596171309.0,4.24,4.24,4.24
228,Coralville,41.68,-91.58,23.0,69.0,1.0,3.1,US,1596171309.0,4.02,4.02,4.02
229,Lexington,37.99,-84.48,22.22,97.0,90.0,1.5,US,1596171309.0,3.99,3.99,3.99
230,Griffin,33.25,-84.26,25.56,88.0,1.0,3.1,US,1596171309.0,4.5,4.5,4.5
231,Dodge City,37.75,-100.02,17.22,82.0,1.0,2.6,US,1596171082.0,5.85,5.85,5.85
232,Paragould,36.06,-90.5,28.0,83.0,1.0,5.1,US,1596171309.0,4.44,4.44,4.44
233,Evanston,42.04,-87.69,22.78,73.0,40.0,4.1,US,1596171309.0,3.66,3.66,3.66
234,Belle Glade,26.68,-80.67,26.67,94.0,74.0,3.17,US,1596171310.0,4.85,4.85,4.85
235,Weston,26.1,-80.4,28.33,88.0,1.0,4.1,US,1596171176.0,4.64,4.64,4.64
236,La Providencia,28.72,-111.58,31.11,70.0,0.0,3.13,MX,1596171310.0,,,
237,Safford,32.83,-109.71,37.0,14.0,1.0,7.7,US,1596171310.0,7.6,7.6,7.6
238,Mundo Nuevo (Ojo de Agua),18.7,-95.5,26.61,86.0,56.0,5.07,MX,1596171310.0,,,
